Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:01:44,49.8,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:06:43,49.6,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:11:44,49.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:16:44,49.6,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:21:44,49.6,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:26:44,49.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:31:44,49.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:36:44,49.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:41:44,49.6,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:46:44,49.3,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:51:44,49.3,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 00:56:44,49.3,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:01:44,49.4,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:06:44,49.4,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:11:44,49.2,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:16:44,49.3,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:21:43,49.1,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:26:43,49.2,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:31:43,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:36:43,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:41:43,48.9,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:46:44,49.1,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:51:43,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 01:56:43,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:01:44,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:06:43,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:11:43,48.9,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:16:43,48.7,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:21:43,48.8,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:26:43,48.8,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:31:43,48.9,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:36:43,49,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:41:43,48.7,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:46:43,46.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:51:43,48.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 02:56:43,51.5,00:EB:FE:73
HG017-TT05301 HG017 Cond. Tank Temperature,01/07/2025 03:01:43,51.2,00:EB:FE:73
