Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:03:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:08:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:13:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:18:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:23:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:28:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:33:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:38:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:43:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:48:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:53:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 00:58:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:03:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:08:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:13:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:18:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:23:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:28:38,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:33:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:38:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:43:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:48:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:53:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 01:58:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:03:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:08:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:13:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:18:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:23:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:28:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:33:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:38:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:43:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:48:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:53:37,99.7,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 02:58:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:03:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:08:37,99.7,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:13:37,100,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:18:41,99.7,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:23:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:28:37,99.7,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:33:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:38:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:43:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:48:37,99.8,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:53:37,99.9,00:E9:93:D7
HG017-TT05302  Vent to Atmosphere ,01/07/2025 03:58:37,99.8,00:E9:93:D7
