Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:03:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:08:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:13:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:18:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:23:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:28:35,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:33:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:38:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:43:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:48:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:53:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 00:58:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:03:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:08:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:13:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:18:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:23:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:28:37,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:33:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:38:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:43:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:48:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:53:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 01:58:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:03:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:08:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:13:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:18:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:23:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:28:36,93.5,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:33:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:38:36,93.6,00:F3:04:22
HG017-TT05303 VG010020 – Preheat ,01/07/2025 02:43:36,93.6,00:F3:04:22
