Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05304 HG024,01/07/2025 00:02:26,54.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:07:26,53.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:12:26,53.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:17:26,53.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:22:26,53.9,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:27:26,55.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:32:26,54,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:37:26,54.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:42:26,54.9,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:47:26,54.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:52:26,53.3,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 00:57:26,52.9,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:02:26,53.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:07:26,54.3,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:12:26,52.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:17:26,55.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:22:26,53.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:27:26,52.2,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:32:26,52.9,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:37:26,53,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:42:26,54.3,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:47:26,51.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:52:26,52.2,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 01:57:26,51.5,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:02:26,51.3,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:07:26,51.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:12:26,51.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:17:26,50.9,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:22:26,51.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:27:25,50.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:32:26,49.9,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:37:26,50.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:42:25,52.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:47:26,49.5,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:52:26,48,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 02:57:26,49.5,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:02:26,51.5,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:07:26,74.3,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:12:26,57.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:17:26,74.7,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:22:26,60.2,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:27:26,72.4,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:32:26,59.3,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:37:26,78.8,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:42:26,61.7,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:47:26,82,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:52:26,66.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 03:57:26,76.1,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 04:02:25,75.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 04:07:26,74.5,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 04:12:26,66.6,00:ED:CE:ED
HG017-TT05304 HG024,01/07/2025 04:17:26,73,00:ED:CE:ED
