Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:04:39,85,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:09:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:14:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:19:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:24:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:29:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:34:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:39:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:44:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:49:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:54:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 00:59:39,85,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:04:39,85,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:09:39,85,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:14:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:19:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:24:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:29:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:34:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:39:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:44:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:49:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:54:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 01:59:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:04:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:09:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:14:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:19:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:24:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:29:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:34:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:39:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:44:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:49:39,85,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:54:39,85,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 02:59:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:04:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:09:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:14:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:19:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:24:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:29:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:34:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:39:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:44:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:49:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:54:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 03:59:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:04:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:09:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:14:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:19:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:24:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:29:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:34:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:39:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:44:39,85.1,00:E2:0F:49
HG017-TT05306 Main Header-Dirt Separator,01/07/2025 04:49:39,85.1,00:E2:0F:49
