Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05308 Process 2 Cond,01/07/2025 00:02:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:07:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:12:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:17:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:22:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:27:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:32:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:37:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:42:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:47:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:52:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 00:57:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:02:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:07:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:12:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:17:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:22:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:27:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:32:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:37:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:42:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:47:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:52:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 01:57:56,96,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:02:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:07:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:12:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:17:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:22:56,96,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:27:56,95.8,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:32:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:37:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:42:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:47:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:52:56,95.8,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 02:57:56,95.8,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 03:02:55,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 03:07:55,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 03:12:56,95.8,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 03:17:56,95.9,00:D6:13:6B
HG017-TT05308 Process 2 Cond,01/07/2025 03:22:55,95.8,00:D6:13:6B
