Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05309 Logistics Backbone,01/07/2025 00:04:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:09:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:14:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:19:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:24:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:29:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:34:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:39:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:44:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:49:30,82.5,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:54:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 00:59:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:04:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:09:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:14:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:19:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:24:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:29:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:34:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:39:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:44:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:49:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:54:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 01:59:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:04:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:09:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:14:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:19:29,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:24:29,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:29:31,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:34:29,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:39:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:44:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:49:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:54:29,82.2,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 02:59:29,82.2,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:04:29,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:09:29,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:14:29,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:19:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:24:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:29:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:34:30,82.4,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:39:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:44:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:49:29,82.3,00:F0:5F:DD
HG017-TT05309 Logistics Backbone,01/07/2025 03:54:29,82.4,00:F0:5F:DD
