Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05310 Main header condensate line,01/07/2025 00:00:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:05:35,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:10:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:15:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:20:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:25:36,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:30:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:35:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:40:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:45:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:50:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 00:55:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:00:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:05:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:10:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:15:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:20:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:25:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:30:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:35:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:40:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:45:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:50:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 01:55:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:00:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:05:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:10:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:15:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:20:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:25:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:30:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:35:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:40:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:45:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:50:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 02:55:36,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:00:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:05:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:10:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:15:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:20:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:25:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:30:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:35:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:40:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:45:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:50:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 03:55:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:00:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:05:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:10:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:15:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:20:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:25:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:30:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:35:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:40:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:45:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:50:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 04:55:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:00:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:05:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:10:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:15:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:20:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:25:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:30:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:35:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:40:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:45:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:50:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 05:55:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:00:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:05:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:10:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:15:36,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:20:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:25:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:30:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:35:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:40:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:45:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:50:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 06:55:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:00:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:05:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:10:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:15:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:20:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:25:37,78.1,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:30:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:35:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:40:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:45:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:50:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 07:55:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:00:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:05:36,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:10:38,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:15:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:20:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:25:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:30:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:35:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:40:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:45:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:50:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 08:55:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:00:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:05:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:10:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:15:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:20:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:25:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:30:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:35:37,78.4,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:40:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:45:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:50:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 09:55:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:00:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:05:36,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:10:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:15:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:20:37,78.3,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:25:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:30:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:35:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:40:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:45:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:50:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 10:55:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:00:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:05:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:10:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:15:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:20:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:25:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:30:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:35:37,78.2,00:D6:69:24
HG017-TT05310 Main header condensate line,01/07/2025 11:40:37,78.2,00:D6:69:24
