Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05311 Backbone ,01/07/2025 00:00:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:05:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:10:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:15:43,77.5,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:20:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:25:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:30:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:35:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:40:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:45:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:50:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 00:55:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:00:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:05:43,77.6,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:10:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:15:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:20:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:25:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:30:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:35:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:40:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:45:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:50:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 01:55:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:00:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:05:42,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:10:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:15:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:20:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:25:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:30:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:35:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:40:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:45:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:50:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 02:55:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:00:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:05:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:10:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:15:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:20:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:25:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:30:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:35:43,77.9,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:40:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:45:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:50:43,77.8,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 03:55:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 04:00:43,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 04:05:42,77.7,00:D2:62:C3
HG017-TT05311 Backbone ,01/07/2025 04:10:42,77.8,00:D2:62:C3
