Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05312 PW – MP015,01/07/2025 00:02:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:07:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:12:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:17:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:22:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:27:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:32:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:37:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:42:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:47:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:52:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 00:57:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:02:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:07:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:12:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:17:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:22:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:27:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:32:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:37:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:42:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:47:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:52:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 01:57:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:02:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:07:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:12:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:17:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:22:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:27:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:32:31,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:37:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:42:33,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:47:32,78.9,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:52:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 02:57:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:02:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:07:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:12:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:17:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:22:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:27:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:32:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:37:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:42:32,79.1,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:47:32,79.2,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:52:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 03:57:32,79.3,00:EB:ED:60
HG017-TT05312 PW – MP015,01/07/2025 04:02:32,79.3,00:EB:ED:60
