Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05314 Condensate supply to utility,01/07/2025 00:03:29,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:08:29,84.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:13:29,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:18:29,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:23:29,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:28:29,84.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:33:30,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:38:30,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:43:30,84.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:48:30,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:53:30,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 00:58:30,84.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:03:30,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:08:30,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:13:30,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:18:30,84.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:23:30,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:28:30,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:33:30,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:38:30,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:43:30,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:48:30,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:53:30,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 01:58:30,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:03:30,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:08:30,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:13:30,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:18:30,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:23:30,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:28:30,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:33:30,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:38:30,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:43:30,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:48:30,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:53:30,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 02:58:30,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:03:30,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:08:31,84.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:13:30,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:18:31,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:23:31,84.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:28:31,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:33:31,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:38:31,84.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:43:31,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:48:31,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:53:31,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 03:58:31,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:03:30,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:08:31,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:13:31,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:18:31,84.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:23:31,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:28:31,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:33:31,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:38:31,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:43:31,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:48:31,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:53:31,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 04:58:31,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:03:31,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:08:31,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:13:31,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:18:31,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:23:31,84.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:28:31,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:33:31,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:38:31,83.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:43:31,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:48:31,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:53:31,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 05:58:31,83.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:03:31,83.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:08:31,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:13:32,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:18:32,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:23:32,83.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:28:32,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:33:32,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:38:32,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:43:32,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:48:32,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:53:32,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 06:58:32,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:03:32,84.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:08:32,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:13:32,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:18:32,84.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:23:32,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:28:33,84.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:33:32,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:38:32,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:43:32,84.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:48:32,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:53:32,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 07:58:32,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:03:32,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:08:32,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:13:32,84.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:18:32,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:23:32,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:28:32,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:33:32,84.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:38:32,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:43:32,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:48:32,83.7,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:53:33,84.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 08:58:33,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:03:33,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:08:33,84.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:13:33,84.3,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:18:33,84.1,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:23:33,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:28:33,84.4,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:33:33,83.9,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:38:33,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:43:33,83.6,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:48:33,84.5,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:53:33,84.2,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 09:58:33,84,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 10:03:33,83.8,3F:F6:92:6C
HG017-TT05314 Condensate supply to utility,01/07/2025 10:08:33,84,3F:F6:92:6C
