Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05315 Split pt to HG080,01/07/2025 00:01:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:06:28,83.5,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:11:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:16:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:21:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:26:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:31:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:36:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:41:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:46:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:51:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 00:56:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:01:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:06:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:11:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:16:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:21:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:26:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:31:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:36:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:41:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:46:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:51:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 01:56:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:01:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:06:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:11:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:16:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:21:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:26:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:31:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:36:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:41:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:46:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:51:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 02:56:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:01:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:06:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:11:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:16:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:21:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:26:28,83.3,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:31:28,83.4,00:A7:F2:7E
HG017-TT05315 Split pt to HG080,01/07/2025 03:36:28,83.3,00:A7:F2:7E
