Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:02:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:07:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:12:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:17:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:22:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:27:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:32:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:37:31,81.3,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:42:31,81.3,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:47:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:52:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 00:57:31,81.3,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:02:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:07:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:12:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:17:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:22:31,81.3,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:27:31,81.4,00:A8:8C:52
HG017-TT05316 Process 1 Right (new Munster) ,01/07/2025 01:32:31,81.3,00:A8:8C:52
