Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:00:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:05:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:10:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:15:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:20:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:25:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:30:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:35:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:40:55,93.2,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:45:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:50:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 00:55:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:00:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:05:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:10:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:15:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:20:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:25:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:30:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:35:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:40:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:45:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:50:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 01:55:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:00:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:05:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:10:55,93.5,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:15:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:20:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:25:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:30:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:35:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:40:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:45:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:50:55,93.2,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 02:55:55,93.2,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:00:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:05:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:10:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:15:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:20:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:25:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:30:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:35:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:40:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:45:55,93.3,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:50:55,93.4,00:C9:CF:B5
HG017-TT05317 Process 1 Left (TC05 &TC06) ,01/07/2025 03:55:55,93.3,00:C9:CF:B5
