Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05319 (HG080),01/07/2025 00:01:24,65.6,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:06:24,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:11:24,66.1,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:16:24,66.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:21:24,66.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:26:24,66.4,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:31:24,66.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:36:24,66.4,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:41:24,66.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:46:23,66.2,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:51:23,66,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 00:56:23,66.1,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:01:24,66.1,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:06:23,66,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:11:23,66.1,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:16:23,66.4,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:21:23,66.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:26:23,66.4,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:31:23,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:36:23,65.8,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:41:24,65.6,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:46:23,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:51:23,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 01:56:23,66,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:01:23,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:06:23,66,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:11:23,66,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:16:23,65.5,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:21:23,65.6,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:26:23,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:31:23,65.8,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:36:23,65.7,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:41:23,65.6,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:46:23,65.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:51:23,65.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 02:56:23,65.2,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:01:23,65.6,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:06:23,65.9,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:11:23,66.1,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:16:23,66.3,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:21:23,66,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:26:23,65.9,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:31:23,66.2,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:36:23,66.5,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:41:23,66.4,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:46:23,66.4,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:51:23,66.2,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 03:56:23,65.9,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 04:01:23,65.1,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 04:06:23,64.9,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 04:11:23,64.8,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 04:16:23,65,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 04:21:23,64.8,00:A7:58:89
HG017-TT05319 (HG080),01/07/2025 04:26:23,64.6,00:A7:58:89
