Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:08:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:13:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:18:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:23:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:28:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:33:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:38:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:43:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:48:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:53:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 00:58:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:08:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:13:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:18:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:23:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:28:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:33:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:38:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:43:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:48:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:53:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 01:58:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:08:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:13:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:18:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:23:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:28:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:33:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:38:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:43:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:48:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:53:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 02:58:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:08:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:13:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:18:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:23:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:28:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:33:31,90.6,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:38:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:43:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:48:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:53:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 03:58:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:08:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:13:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:18:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:23:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:28:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:33:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:38:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:43:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:48:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:53:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 04:58:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:08:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:13:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:18:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:23:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:28:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:33:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:38:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:43:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:48:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:53:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 05:58:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:08:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:13:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:18:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:23:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:28:31,90.5,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:33:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:38:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:43:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:48:31,90.2,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:53:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 06:58:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 07:03:31,90.4,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 07:08:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 07:13:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 07:18:31,90.2,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 07:23:31,90.3,00:A7:4B:9A
HG017-TT05320 Process 1 Main Line ,01/07/2025 07:28:31,90.3,00:A7:4B:9A
