Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:03:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:08:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:13:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:18:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:23:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:28:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:33:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:38:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:43:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:48:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:53:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 00:58:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:03:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:08:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:13:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:18:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:23:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:28:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:33:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:38:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:43:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:48:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:53:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 01:58:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:03:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:08:15,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:13:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:18:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:23:14,83,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:28:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:33:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:38:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:43:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:48:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:53:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 02:58:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:03:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:08:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:13:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:18:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:23:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:28:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:33:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:38:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:43:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:48:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:53:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 03:58:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:03:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:08:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:13:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:18:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:23:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:28:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:33:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:38:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:43:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:48:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:53:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 04:58:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:03:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:08:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:13:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:18:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:23:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:28:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:33:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:38:15,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:43:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:48:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:53:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 05:58:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:03:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:08:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:13:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:18:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:23:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:28:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:33:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:38:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:43:14,82.7,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:48:14,82.7,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:53:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 06:58:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:03:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:08:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:13:14,82.7,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:18:14,80.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:23:14,82.5,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:28:14,82.6,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:33:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:38:14,82.7,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:43:17,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:48:14,80.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:53:14,82.5,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 07:58:14,82.6,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:03:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:08:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:13:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:18:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:23:14,82.5,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:28:14,82.7,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:33:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:38:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:43:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:48:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:53:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 08:58:14,82.6,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:03:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:08:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:13:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:18:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:23:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:28:14,82.8,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:33:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:38:14,82.9,00:88:6D:9C
HG017-TT05322 Process 2 Left (TFG01),01/07/2025 09:43:14,82.9,00:88:6D:9C
