Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05323 Split pt to VG016,01/07/2025 00:01:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:06:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:11:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:16:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:21:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:26:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:31:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:36:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:41:21,35.4,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:46:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:51:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 00:56:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:01:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:06:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:11:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:16:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:21:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:26:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:31:22,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:36:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:41:21,35.3,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:46:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:51:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 01:56:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:01:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:06:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:11:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:16:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:21:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:26:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:31:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:36:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:41:21,35.2,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:46:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:51:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 02:56:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:01:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:06:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:11:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:16:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:21:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:26:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:31:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:36:22,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:41:21,35.1,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:46:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:51:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 03:56:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 04:01:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 04:06:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 04:11:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 04:16:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 04:21:21,35,00:A8:DC:E3
HG017-TT05323 Split pt to VG016,01/07/2025 04:26:21,35,00:A8:DC:E3
