Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05324 Split pt to TC01,01/07/2025 00:04:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:09:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:14:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:19:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:24:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:29:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:34:32,96.3,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:39:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:44:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:49:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:54:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 00:59:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:04:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:09:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:14:32,96.2,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:19:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:24:32,96.2,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:29:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:34:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:39:32,96.2,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:44:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:49:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:54:32,96.2,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 01:59:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:04:32,96.2,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:09:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:14:32,96.2,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:19:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:24:33,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:29:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:34:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:39:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:44:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:49:32,96,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:54:32,95.9,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 02:59:32,96.1,00:88:60:56
HG017-TT05324 Split pt to TC01,01/07/2025 03:04:32,96.1,00:88:60:56
