Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:04:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:09:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:14:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:19:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:24:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:29:14,52.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:34:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:39:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:44:14,52.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:49:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:54:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 00:59:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:04:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:09:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:14:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:19:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:24:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:29:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:34:14,52.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:39:14,52.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:44:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:49:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:54:14,53,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 01:59:14,53,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:04:14,53.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:09:14,53,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:14:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:19:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:24:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:29:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:34:14,52.4,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:39:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:44:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:49:14,52.5,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:54:14,52.5,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 02:59:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:04:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:09:14,52.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:14:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:19:14,53,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:24:14,53.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:29:14,53.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:34:14,53.2,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:39:14,53.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:44:14,52.9,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:49:14,52.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:54:14,52.7,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 03:59:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:04:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:09:14,52.5,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:14:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:19:14,52.2,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:24:14,52.2,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:29:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:34:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:39:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:44:14,52.3,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:49:14,52.4,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:54:14,52.4,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 04:59:14,52.5,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:04:14,52.5,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:09:14,52.6,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:14:14,52.4,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:19:14,52.2,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:24:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:29:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:34:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:39:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:44:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:49:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:54:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 05:59:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:04:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:09:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:14:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:19:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:24:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:29:14,52.2,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:34:14,52.2,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:39:14,52.1,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:44:14,52,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:49:14,51.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:54:14,51.8,00:A8:EB:F2
HG017-TT05326 Process 1 Left TC05,01/07/2025 06:59:14,51.8,00:A8:EB:F2
