Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:01:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:06:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:11:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:16:53,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:21:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:26:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:31:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:36:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:41:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:46:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:51:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 00:56:53,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:01:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:06:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:11:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:16:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:21:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:26:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:31:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:36:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:41:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:46:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:51:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 01:56:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:01:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:06:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:11:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:16:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:21:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:26:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:31:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:36:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:41:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:46:51,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:51:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 02:56:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:01:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:06:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:11:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:16:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:21:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:26:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:31:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:36:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:41:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:46:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:51:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 03:56:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:01:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:06:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:11:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:16:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:21:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:26:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:31:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:36:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:41:53,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:46:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:51:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 04:56:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:01:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:06:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:11:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:16:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:21:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:26:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:31:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:36:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:41:53,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:46:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:51:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 05:56:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:01:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:06:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:11:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:16:53,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:21:52,94.4,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:26:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:31:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:36:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:41:53,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:46:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:51:53,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 06:56:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:01:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:06:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:11:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:16:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:21:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:26:52,94.2,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:31:52,94.3,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:36:52,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:41:53,94.1,00:B6:05:3F
HG017-TT05327 Split pt to TC06 (Process 1 Right),01/07/2025 07:46:52,94.1,00:B6:05:3F
