Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05328 TFG03,01/07/2025 00:02:04,94.7,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:07:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:12:04,94.7,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:17:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:22:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:27:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:32:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:37:04,94.7,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:42:04,94.7,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:47:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:52:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 00:57:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:02:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:07:03,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:12:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:17:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:22:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:27:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:32:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:37:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:42:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:47:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:52:04,94.7,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 01:57:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:02:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:07:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:12:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:17:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:22:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:27:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:32:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:37:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:42:04,94.8,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:47:04,94.7,00:B6:1E:BC
HG017-TT05328 TFG03,01/07/2025 02:52:04,94.6,00:B6:1E:BC
