Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05330 TB02,01/07/2025 00:01:16,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:06:16,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:11:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:16:16,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:21:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:26:16,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:31:16,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:36:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:41:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:46:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:51:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 00:56:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:01:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:06:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:11:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:16:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:21:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:26:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:31:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:36:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:41:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:46:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:51:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 01:56:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:01:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:06:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:11:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:16:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:21:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:26:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:31:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:36:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:41:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:46:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:51:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 02:56:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:01:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:06:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:11:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:16:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:21:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:26:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:31:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:36:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:41:20,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:46:17,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:51:18,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 03:56:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:01:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:06:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:11:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:16:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:21:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:26:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:31:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:36:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:41:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:46:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:51:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 04:56:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:01:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:06:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:11:17,89.8,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:16:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:21:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:26:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:31:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:36:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:41:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:46:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:51:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 05:56:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:01:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:06:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:11:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:16:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:21:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:26:17,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:31:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:36:17,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:41:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:46:18,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:51:18,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 06:56:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:01:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:06:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:11:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:16:18,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:21:18,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:26:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:31:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:36:18,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:41:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:46:18,89.5,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:51:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 07:56:18,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 08:01:18,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 08:06:18,89.6,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 08:11:18,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 08:16:18,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 08:21:18,89.7,00:A8:84:C2
HG017-TT05330 TB02,01/07/2025 08:26:18,89.7,00:A8:84:C2
