Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:03:24,30,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:08:24,30,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:13:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:18:24,30,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:23:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:28:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:33:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:38:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:43:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:48:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:53:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 00:58:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:03:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:08:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:13:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:18:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:23:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:28:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:33:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:38:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:43:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:48:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:53:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 01:58:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:03:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:08:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:13:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:18:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:23:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:28:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:33:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:38:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:43:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:48:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:53:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 02:58:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:03:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:08:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:13:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:18:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:23:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:28:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:33:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:38:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:43:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:48:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:53:24,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 03:58:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:03:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:08:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:13:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:18:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:23:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:28:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:33:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:38:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:43:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:48:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:53:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 04:58:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:03:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:08:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:13:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:18:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:23:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:28:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:33:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:38:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:43:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:48:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:53:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 05:58:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:03:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:08:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:13:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:18:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:23:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:28:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:33:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:38:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:43:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:48:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:53:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 06:58:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:03:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:08:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:13:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:18:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:23:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:28:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:33:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:38:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:43:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:48:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:53:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 07:58:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:03:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:08:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:13:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:18:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:23:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:28:24,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:33:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:38:23,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:43:23,29.4,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:48:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:53:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 08:58:23,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:03:23,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:08:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:13:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:18:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:23:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:28:24,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:33:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:38:23,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:43:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:48:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:53:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 09:58:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:03:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:08:24,29.5,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:13:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:18:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:23:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:28:24,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:33:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:38:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:43:23,29.6,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:48:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:53:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 10:58:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:03:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:08:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:13:23,29.7,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:18:23,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:23:23,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:28:23,29.8,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:33:23,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:38:23,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:43:24,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:48:23,29.9,00:CA:17:75
HG017-TT05331 Process 2 Right (TFG02),01/07/2025 11:53:23,29.9,00:CA:17:75
