Sensor Name,Date Time,Temp (°C),Serial No.
HG017-TT05334 Split point to TC06,01/07/2025 00:00:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:05:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:10:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:15:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:20:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:30:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:35:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:40:49,93.6,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:45:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:50:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 00:55:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:00:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:05:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:10:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:15:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:20:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:30:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:35:49,93.9,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:40:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:45:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:50:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 01:55:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:00:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:05:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:10:49,94,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:15:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:20:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:30:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:35:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:40:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:45:49,93.6,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:50:49,93.6,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 02:55:49,93.6,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:00:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:05:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:10:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:15:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:20:49,93.6,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:30:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:35:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:40:49,93.6,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:45:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:50:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 03:55:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:00:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:05:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:10:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:15:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:20:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:30:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:35:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:40:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:45:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:50:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 04:55:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:00:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:05:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:10:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:15:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:20:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:30:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:35:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:40:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:45:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:50:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 05:55:49,93.8,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:00:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:05:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:10:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:15:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:20:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:25:49,93.7,00:D3:B4:4F
HG017-TT05334 Split point to TC06,01/07/2025 06:30:49,93.7,00:D3:B4:4F
